"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1"
"1","miRNA_ID","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin"
"2","hsa-let-7a-1","16084.81871","14071.0604","5876.440293","18456.62428","19851.96787","33096.18993","28540.91839","44036.73756","11128.65142","18882.23665","15478.25501","14368.05178","31597.06911","10901.94836","38580.88213","7442.703449","38404.11889","32805.11744","59089.4771","16862.14739","25183.3095","8601.414233","21038.59242","5890.347895","31910.73641","24279.77228","16243.09463","30397.18727","28343.80587","29225.10426","10280.96689","21433.04927","7808.92986","17498.45116","9386.339381","13321.7706","13512.41145","25440.12899","21411.74261","10579.96945","28831.72975","30776.42945","10896.24527","27468.3218","22128.32967","12613.84057"
"3","hsa-let-7a-2","15922.93447","14089.45414","5867.218731","18397.23749","19671.19808","33202.42018","28371.18216","43806.97907","11040.12877","18752.26594","15373.23149","14434.2532","31580.23","10837.57514","38651.97491","7382.282904","38051.85584","32687.72827","58656.29866","16825.42935","24969.50761","8570.477757","20975.88311","5861.1831","31762.79397","24336.63914","16124.09174","30673.5511","28504.82278","29326.90515","10339.96754","21423.8411","7850.911476","17538.53652","9377.191645","13281.72377","13562.55347","25789.91275","21237.73241","10682.91025","28678.0131","30976.48515","10813.42958","27539.0483","22267.12432","12637.79817"
"4","hsa-let-7a-3","15802.06089","14059.56431","5899.770844","18315.67962","19635.48656","33958.52959","28513.9249","43958.9309","11089.44631","18838.40637","15432.01824","14567.2419","31687.8132","10831.80225","38504.87335","7403.127992","38127.6183","32794.95585","59271.23029","16891.64421","25075.23975","8578.060884","20970.33869","5990.07268","31797.66256","24402.02613","16175.32168","30512.55145","28399.19569","29531.07187","10440.22739","21615.13336","8007.801176","17634.97952","9493.825278","13337.50329","13534.60074","25415.17304","21651.53715","10519.32612","28768.1984","30936.56543","10933.05225","27696.36519","22256.92213","12762.21802"
"5","hsa-let-7b","54368.2845","7018.592626","3184.574171","12600.69031","2588.294745","168775.6495","46437.60052","25679.40087","11807.42884","10687.24106","3557.589386","7411.629891","29876.08871","7190.19488","15284.75969","5858.778858","8414.003622","13846.91754","71276.02857","30915.97677","17024.49263","3507.095895","29403.40309","9325.208168","42992.97024","20345.85355","13655.44873","38087.47156","15641.50423","26830.919","27013.22192","6566.165955","6304.297562","11207.23219","5355.618234","42667.04298","13495.98561","14122.26897","17658.32143","16854.77143","38774.75053","75652.13894","16558.99859","42227.02546","7425.065462","3800.155852"
"6","hsa-let-7c","218.004118","1972.575695","2955.141712","1477.939389","145.058277","399.144534","526.519708","2650.460913","119.48225","1394.71498","89.831444","182.786224","466.349787","310.102479","457.376188","108.052075","1573.042293","167.438822","1082.946098","241.482302","326.90651","669.395564","915.403033","143.942378","9866.565382","643.170151","2254.651252","1765.043688","1868.118137","761.077485","3577.997625","716.454832","2722.169018","2033.637572","142.933374","978.763735","1551.232903","1944.295902","5469.119291","2333.494539","5226.36602","7822.894174","1946.168877","4847.739726","1801.864019","4313.966695"
"7","hsa-let-7d","13784.98319","1308.484919","1260.587506","842.104763","2628.430695","5503.664162","1508.994626","1974.916049","1243.05101","2638.430846","1251.034961","4930.541235","623.280934","1166.015818","2031.438515","1349.794978","1621.931742","2101.781874","7547.301268","1040.099648","2780.503497","1312.216627","1527.010029","932.959857","735.229105","1015.677817","2501.729011","1415.266282","1023.745485","877.453644","619.300558","395.654161","201.036757","1824.677739","1186.156426","965.891538","1335.391654","449.340676","1139.024068","749.123602","2607.158486","730.134758","927.535805","841.447051","499.0105","216.57678"
"8","hsa-let-7e","283.837045","260.578031","130.4851","527.15679","154.53921","355.402667","215.507788","2158.448224","200.692841","1231.554863","268.338412","460.480681","393.380312","150.966644","2694.529996","114.698335","1613.028034","382.955638","3147.359429","307.697166","345.967065","149.448012","257.528798","782.43188","6054.681419","4752.643021","1206.038303","2082.224335","933.576018","3241.245519","1205.181165","4867.556106","2932.915333","1528.998584","1348.147583","520.608864","788.440131","2662.146658","2594.237398","548.8477","3902.613749","2055.256208","1273.061296","2261.265013","2676.225485","2214.162173"
"9","hsa-let-7f-1","1669.566193","14975.11288","4052.323142","13135.56739","32018.53333","2255.049452","15988.65335","43049.96606","7034.673033","23537.62044","32543.58724","23234.35537","16186.94499","11431.203","34788.57365","3890.982405","55322.13452","35082.52808","9349.687082","5644.296936","40102.33001","7692.848164","16755.0492","2762.188376","7711.686581","13088.88905","3230.1548","13635.93331","26129.17936","10880.38","2223.458164","4789.435202","998.897022","8289.335349","5724.195762","5714.30206","5495.450764","4453.370462","11105.35203","1183.309526","18128.34099","4305.69243","5523.346895","4620.357334","9340.050486","3011.950534"
"10","hsa-let-7f-2","1604.812495","15186.10445","4098.984245","13131.21235","32154.26869","2369.090747","16198.29299","44073.81014","7156.955648","23809.97623","32887.72093","23390.7782","16385.15534","11593.17082","35253.70198","3958.04921","56355.28837","35516.44336","9389.06694","5703.045798","40095.13735","7891.754275","16788.50691","2811.737168","7872.082091","13308.03452","3350.224985","13713.59863","26843.12831","11094.94148","2231.297412","4834.436407","1017.408051","8410.583647","5820.246989","5761.976864","5486.805587","4726.951806","11228.43242","1163.944426","18177.81511","4355.211169","5519.20611","4717.523647","9471.333635","3083.18449"
"11","hsa-let-7g","5935.755697","1446.361354","1506.803207","1191.299122","1947.067634","2523.74949","1331.776513","2639.476444","1135.859252","1490.989584","1930.220123","1609.924823","866.39558","1902.223283","3163.250778","1726.81918","2347.179192","2780.48543","2244.651912","911.341725","2047.031741","1253.095074","983.083207","1514.374167","1300.100247","1412.95328","1820.79765","1501.718558","1664.270735","1876.028884","687.378234","767.39679","300.22793","2092.376518","736.392743","1216.661009","2196.163098","475.364267","1933.210854","461.704751","777.163621","607.785382","1162.640367","898.953644","1011.922887","497.839104"
